partner_id,name,type,address,phone,email,state,district,liaison_centers,note,source_url,last_verified,supported_schemes,routing_status,source,notes
nsfdc-hq,National Scheduled Castes Finance and Development Corporation (NSFDC) — Head Office,Apex Corporation (not a routing partner — reference only),"14th Floor, SCOPE Minar, Core 1 & 2, North Tower, Laxmi Nagar District Centre, Laxmi Nagar, Delhi – 110092",011-22054392 / 22054394 / 22054396,support-nsfdc@nic.in,Delhi,Delhi,Mumbai|Kolkata|Lucknow|Bengaluru,Applicants cannot apply directly to NSFDC — must route through an SCA/CA. Included for reference/contact only.,https://myscheme.gov.in/schemes/mcfnsfdc,2026-09-08,,restricted,,Applicants cannot apply directly to NSFDC — must route through an SCA/CA. Included for reference/contact only.
sca-odisha-osfdc,Odisha Scheduled Caste and Scheduled Tribe Development Finance Co-operative Corporation Ltd. (OSFDC),SCA,"Bhubaneswar, Odisha",,,Odisha,Khordha (HQ: Bhubaneswar),,"State Channelising Agency (SCA) for Odisha. Routes NSFDC micro-credit, Suvidha, and Utkarsh loans across all 30 districts.",https://rtiodisha.gov.in/Pages/printAllManual/office_id:148/lang:,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india|nsfdc-els-abroad,available,Odisha ST & SC Development Department / RTI Odisha organisational manual,Address is HQ-level (Bhubaneswar) from public records; exact street address/lat-long and district branch network were not found in a structured public source and would need direct verification with OSFDC or the Odisha ST & SC Development Department before production use.
sbi-bbsr-01,State Bank of India — Bhubaneswar Main Branch,PSB,"Raj Bhavan Road, Unit-1, Bhubaneswar, Odisha – 751001",0674-2391234,sbi.00691@sbi.co.in,Odisha,Khordha,,,,2026-09-08,mudra-shishu|mudra-kishore|stand-up-india|nsfdc-suvidha|nsfdc-mcf|pm-svanidhi,available,,
odisha-gb-sundargarh,Odisha Gramya Bank — Sundargarh Branch,RRB,"Main Road, Near Collectorate, Sundargarh, Odisha – 770001",06622-272345,ogb.sundargarh@odishagramya.in,Odisha,Sundargarh,,Serving grassroots entrepreneurs and artisans in Sundargarh and Rourkela.,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu|mudra-kishore|pm-svanidhi,available,,
pnb-rourkela-sdg,"Punjab National Bank — Rourkela Main, Sundargarh",PSB,"Bisra Road, Uditnagar, Rourkela, Sundargarh, Odisha – 769012",0661-2501234,bo4125@pnb.co.in,Odisha,Sundargarh,,Currently flagged with limited quota for machinery term loans — alternative recommended.,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|mudra-kishore|stand-up-india,limited,,
annapurna-mfi-bbsr,Annapurna Finance Pvt Ltd — Microfinance Partner,NBFC-MFI,"Khandagiri, Bhubaneswar, Odisha – 751030",0674-2384900,microfinance@annapurnafinance.in,Odisha,Khordha,,,,2026-09-08,nsfdc-amy|nsfdc-msy|pm-svanidhi|mudra-shishu,available,,
uco-cuttack-choudhury,"UCO Bank — Choudhury Bazar Branch, Cuttack",PSB,"Choudhury Bazar, Cuttack, Odisha – 753001",0671-2412890,cuttack@ucobank.co.in,Odisha,Cuttack,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
sca-assam-asfdc,Assam State Development Corporation for Scheduled Castes Ltd (ASDSC),SCA,"Bishnu Rabha Ali, Mandir Path, Gopinath Nagar, Guwahati, Assam – 781016",0361-2470123 / 2470456,asfdc-assam@gov.in,Assam,Kamrup Metropolitan,,Designated State Channelising Agency for Assam. Facilitates NSFDC concessional micro-credit and Suvidha loans across all districts.,,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india|nsfdc-els-abroad,available,"Welfare of Plain Tribes & Backward Classes Department, Govt of Assam",
agvb-guwahati-panbazar,Assam Gramin Vikash Bank (AGVB) — Head Office & Panbazar Main,RRB,"Mahapurush Srimanta Sankardev Road, Panbazar, Guwahati, Assam – 781001",0361-2510849 / 2510850,agvb.panbazar@agvbank.co.in,Assam,Kamrup Metropolitan,,Premier Regional Rural Bank in Assam offering priority queue for rural artisan and tailoring micro-credit.,,2026-09-08,nsfdc-mcf|nsfdc-msy|nsfdc-suvidha|mudra-shishu|mudra-kishore|pm-svanidhi,available,,
sbi-guwahati-panbazar,State Bank of India — Guwahati Main Branch,PSB,"Opposite High Court, MG Road, Panbazar, Guwahati, Assam – 781001",0361-2540021 / 2540022,sbi.00078@sbi.co.in,Assam,Kamrup Metropolitan,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india|mudra-kishore|mudra-shishu,available,,
pnb-dispur-capital,Punjab National Bank — Dispur Capital Complex Branch,PSB,"GS Road, Dispur, Guwahati, Assam – 781005",0361-2260114,bo0312@pnb.co.in,Assam,Kamrup Metropolitan,,Currently experiencing heavy queue for machinery loans; auto-routing to ASDSC or AGVB is recommended.,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india|mudra-kishore,limited,,
uco-guwahati-fancy,UCO Bank — Fancy Bazar Commercial Branch,PSB,"Hem Baruah Road, Fancy Bazar, Guwahati, Assam – 781001",0361-2544219,fancybazar@ucobank.co.in,Assam,Kamrup Metropolitan,,,,2026-09-08,nsfdc-mcf|nsfdc-msy|nsfdc-suvidha|pm-svanidhi,available,,
nesfb-silchar-cachar,North East Small Finance Bank / Microfinance Branch — Silchar,NBFC-MFI,"Nazirpatty, Silchar, Cachar, Assam – 788001",03842-230910,silchar@nesfb.com,Assam,Cachar,,,,2026-09-08,nsfdc-amy|nsfdc-msy|pm-svanidhi|mudra-shishu,available,,
sca-bihar-bsccdc,Bihar State Scheduled Castes Co-operative Development Corporation Ltd (BSCCDC),SCA,"Malya Nilay, Budh Marg, Near Patna Junction, Patna, Bihar – 800001",0612-2223451 / 2226789,md_bsccdc@bihar.gov.in,Bihar,Patna,,Designated State Channelising Agency (SCA) for Bihar. Direct channel for NSFDC concessional finance.,,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india|nsfdc-els-abroad,available,"Scheduled Caste & Scheduled Tribe Welfare Department, Government of Bihar",
ubgb-muzaffarpur-ho,Uttar Bihar Gramin Bank (UBGB) — Head Office & Regional Hub,RRB,"Kalambagh Chowk, Sharma Complex, Muzaffarpur, Bihar – 842001",0621-2248141 / 2248142,cm.credit@ubgb.in,Bihar,Muzaffarpur,,Serving 18 districts of North Bihar with specialized credit desk for SC/ST self-help groups.,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu|mudra-kishore,available,,
dbgb-patna-ho,Dakshin Bihar Gramin Bank (DBGB) — Head Office & Patna Branch,RRB,"Shri Vishnu Commercial Complex, NH-30, Ashiana-Digha Road, Patna, Bihar – 800025",0612-2560120 / 2560121,dbgb.credit@dbgb.co.in,Bihar,Patna,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|pm-svanidhi|mudra-shishu,available,,
sbi-patna-gandhimaidan,State Bank of India — Patna Main Branch,PSB,"West Gandhi Maidan, Near Collectorate, Patna, Bihar – 800001",0612-2222144 / 2222145,sbi.00152@sbi.co.in,Bihar,Patna,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india|mudra-kishore,available,,
pnb-patna-boring,Punjab National Bank — Boring Road Large Branch,PSB,"Alankar Jewellers Building, Boring Road, Patna, Bihar – 800001",0612-2540110,bo2104@pnb.co.in,Bihar,Patna,,Experiencing high backlog. System may re-route application to BSCCDC or DBGB.,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india,limited,,
canara-patna-exhibition,Canara Bank — Exhibition Road Commercial Branch,PSB,"Exhibition Road, Beside LIC Building, Patna, Bihar – 800001",0612-2321456,cb0298@canarabank.com,Bihar,Patna,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
sca-andhra-apsccfc,Andhra Pradesh Scheduled Castes Co-operative Finance Corporation Ltd (APSCCFC),SCA,"3rd & 4th Floors, SP's River View Apartments, Beside Manipal Hospital, Tadepalli, Amaravathi, Guntur – 522501",040-23391039 / 23315970 / 23321141,md_apsccfc@ap.gov.in,Andhra Pradesh,Guntur,,,https://devmosje.negd.in/organisation_cat/nskfdc/page/7/,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india|nsfdc-els-abroad,available,NSKFDC list of Channelizing Agencies (mirrored via devmosje.negd.in),
apgb-kadapa-ho,Andhra Pragathi Grameena Bank (APGB) — Head Office,RRB,"Mariapuram, Kadapa, Andhra Pradesh – 516003",08562-244144,credit@apgb.co.in,Andhra Pradesh,Kadapa,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
cggb-guntur,Chaitanya Godavari Grameena Bank — Guntur Main,RRB,"Raghu Mansion, 4/1 Brodipet, Guntur, Andhra Pradesh – 522002",0863-2231234,guntur@cggb.co.in,Andhra Pradesh,Guntur,,,,2026-09-08,nsfdc-mcf|nsfdc-msy|nsfdc-suvidha,available,,
sbi-guntur-kothapet,"State Bank of India — Kothapet Branch, Guntur",PSB,"Kothapet Main Road, Guntur, Andhra Pradesh – 522001",0863-2224501,sbi.guntur@sbi.co.in,Andhra Pradesh,Guntur,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india,available,,
ubi-vijayawada,"Union Bank of India — Governorpet Branch, Vijayawada",PSB,"Governorpet, Vijayawada, Andhra Pradesh – 520002",0866-2578912,vijayawada@unionbankofindia.com,Andhra Pradesh,Krishna,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|mudra-kishore,available,,
sca-karnataka-brambedkar,Dr. B.R. Ambedkar Development Corporation Ltd,SCA,"Bengaluru, Karnataka",,,Karnataka,Bengaluru Urban,,Name confirmed from a public aggregator citing the official SCA list; full street address/contact not yet independently verified — verify directly before production use.,https://www.indiastat.com/table/template/social-welfare-schemes/state-channelising-agency-wise-number-people-benef/662935,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh,available,IndiaStat aggregation of NSKFDC State Channelising Agency list,Name confirmed from a public aggregator citing the official SCA list; full street address/contact not yet independently verified — verify directly before production use.
kgb-bellary-ho,Karnataka Gramin Bank (KGB) — Head Office & Bengaluru Hub,RRB,"Gandhinagar, Ballari & Bengaluru Hub, Karnataka – 560009",080-22284560,ho.credit@karnatakagraminbank.com,Karnataka,Bengaluru Urban,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
canara-bangalore-townhall,Canara Bank — Bengaluru Town Hall Branch,PSB,"JC Road, Near Town Hall, Bengaluru, Karnataka – 560002",080-22223400,cb0102@canarabank.com,Karnataka,Bengaluru Urban,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india,available,,
sbi-bangalore-stmarks,State Bank of India — St. Marks Road Commercial Branch,PSB,"St. Marks Road, Bengaluru, Karnataka – 560001",080-25584123,sbi.stmarks@sbi.co.in,Karnataka,Bengaluru Urban,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|nsfdc-els-india|nsfdc-els-abroad,available,,
kvgb-dharwad,Karnataka Vikas Grameena Bank — Hubballi-Dharwad Branch,RRB,"Belgaum Road, Dharwad, Karnataka – 580008",0836-2448321,dharwad@kvgbank.com,Karnataka,Dharwad,,,,2026-09-08,nsfdc-mcf|nsfdc-msy|nsfdc-suvidha,available,,
sca-maharashtra-mahatmaphule,Mahatma Phule Backward Class Development Corporation Ltd,SCA,"Mumbai, Maharashtra",,,Maharashtra,Mumbai,,Name confirmed from a public aggregator citing the official SCA list; full street address/contact not yet independently verified — verify directly before production use.,https://www.indiastat.com/table/template/social-welfare-schemes/state-channelising-agency-wise-number-people-benef/662935,2026-09-08,nsfdc-msy|nsfdc-mcf|nsfdc-suvidha|nsfdc-utkarsh,limited,IndiaStat aggregation of NSKFDC State Channelising Agency list,Name confirmed from a public aggregator citing the official SCA list; full street address/contact not yet independently verified — verify directly before production use.
bom-pune-lokmangal,Bank of Maharashtra — Lokmangal Head Office & Pune Branch,PSB,"1501, Shivaji Nagar, Pune, Maharashtra – 411005",020-25532731,bom.pune@mahabank.co.in,Maharashtra,Pune,,,,2026-09-08,nsfdc-suvidha|nsfdc-mcf|nsfdc-msy|mudra-shishu,available,,
sbi-mumbai-fort,"State Bank of India — Fort Main Branch, Mumbai",PSB,"Mumbai Samachar Marg, Fort, Mumbai, Maharashtra – 400001",022-22661234,sbi.fort@sbi.co.in,Maharashtra,Mumbai,,,,2026-09-08,nsfdc-suvidha|nsfdc-utkarsh|stand-up-india|nsfdc-els-abroad,available,,
